Age Range,Gender,Location,Language,Interest,Device Type,Online Purchase Behavior,Ad Engagement (Clicks/Views),Time Spent on Platform (mins),Page Likes,Ad Impressions,Recent Ad Interaction,Ad Placement,Ad Format,Lookalike Score
25-34,Non-binary,New York,English,Travel,Mobile,Occasional,38,5.8,11,35,Clicked,Stories,Carousel,0.91
55+,Male,New York,Spanish,Food,Tablet,Occasional,95,87.3,9,22,Viewed,Stories,Carousel,0.16
45-54,Male,Texas,English,Gaming,Tablet,Frequent,94,13.6,11,34,Ignored,Feed,Image,0.78
25-34,Male,Florida,English,Gaming,Mobile,Occasional,71,27.7,11,2,Clicked,Feed,Video,0.17
45-54,Non-binary,Florida,Chinese,Fitness,Desktop,Rare,19,42.6,9,27,Viewed,Stories,Carousel,0.22
55+,Female,Texas,Chinese,Gaming,Mobile,Rare,55,28.2,8,26,Viewed,Stories,Video,0.27
45-54,Male,Texas,Spanish,Fitness,Tablet,Frequent,74,46.1,14,20,Ignored,Feed,Carousel,0.09
35-44,Female,California,Spanish,Gaming,Tablet,Rare,17,31.1,16,10,Ignored,Stories,Image,0.91
35-44,Female,Texas,French,Travel,Mobile,Frequent,62,50.3,12,23,Clicked,Messenger,Carousel,0.47
45-54,Female,California,Hindi,Travel,Mobile,Frequent,84,12.1,11,43,Clicked,Messenger,Carousel,0.04
35-44,Non-binary,New York,Hindi,Travel,Mobile,Rare,64,41.8,9,22,Ignored,Stories,Image,0.89
18-24,Male,Florida,Hindi,Technology,Desktop,Frequent,7,2.9,20,9,Ignored,Messenger,Image,0.63
55+,Female,Texas,English,Fitness,Desktop,Rare,86,19.2,11,4,Clicked,Feed,Video,0.05
25-34,Non-binary,Florida,English,Fitness,Mobile,Frequent,89,27.7,10,6,Viewed,Feed,Video,0.83
18-24,Non-binary,Illinois,Chinese,Fitness,Tablet,Frequent,68,11.4,6,11,Viewed,Messenger,Video,0.56
55+,Male,Texas,Spanish,Gaming,Tablet,Rare,49,2.9,9,4,Viewed,Messenger,Video,0.22
55+,Male,New York,French,Technology,Desktop,Frequent,60,64.4,13,3,Ignored,Messenger,Image,0.43
25-34,Non-binary,Illinois,English,Food,Desktop,Frequent,34,13.6,9,32,Ignored,Messenger,Video,0.9
45-54,Female,New York,Spanish,Technology,Desktop,Occasional,96,189.6,6,24,Ignored,Stories,Carousel,0.65
55+,Male,New York,Hindi,Fitness,Desktop,Frequent,66,50.9,10,45,Viewed,Messenger,Image,0.26
18-24,Female,New York,Spanish,Fitness,Desktop,Occasional,19,41.1,12,3,Viewed,Messenger,Image,0.45
35-44,Female,New York,Spanish,Fitness,Mobile,Frequent,62,22.7,7,35,Viewed,Stories,Carousel,0.25
55+,Non-binary,Florida,Spanish,Technology,Tablet,Rare,16,26,9,36,Ignored,Messenger,Image,0.07
55+,Non-binary,New York,Chinese,Fitness,Mobile,Frequent,72,21.8,11,16,Viewed,Feed,Video,0.93
55+,Female,Texas,Spanish,Technology,Tablet,Occasional,46,4.9,11,7,Viewed,Messenger,Image,0.82
25-34,Non-binary,California,Chinese,Technology,Desktop,Occasional,31,28.4,17,44,Clicked,Stories,Image,0.75
35-44,Non-binary,Texas,Chinese,Technology,Desktop,Rare,86,12.6,14,23,Clicked,Stories,Carousel,0.39
25-34,Non-binary,New York,English,Technology,Tablet,Occasional,31,59.6,11,22,Viewed,Messenger,Video,0.45
35-44,Female,Illinois,English,Gaming,Tablet,Occasional,44,85.5,11,49,Viewed,Stories,Image,0.65
35-44,Male,New York,Hindi,Gaming,Desktop,Occasional,37,4.7,9,49,Viewed,Stories,Video,0.69
35-44,Non-binary,California,Spanish,Fitness,Mobile,Frequent,54,22.5,12,30,Clicked,Feed,Video,0.81
35-44,Male,Texas,French,Food,Desktop,Occasional,89,1.2,7,19,Viewed,Messenger,Video,0.22
45-54,Female,Illinois,English,Gaming,Desktop,Rare,93,2,6,9,Clicked,Stories,Video,0.63
55+,Non-binary,New York,Spanish,Travel,Tablet,Frequent,32,4.9,14,8,Viewed,Messenger,Image,0.68
18-24,Male,New York,French,Food,Mobile,Rare,66,50,9,1,Viewed,Feed,Carousel,0.84
35-44,Male,Texas,Hindi,Fitness,Tablet,Occasional,87,29.8,9,38,Clicked,Feed,Video,0.9
55+,Female,Texas,French,Food,Desktop,Frequent,21,31.9,9,3,Clicked,Feed,Image,0.5
45-54,Non-binary,New York,Spanish,Gaming,Tablet,Occasional,87,10.9,12,33,Viewed,Stories,Image,0.19
25-34,Male,Illinois,French,Technology,Tablet,Occasional,75,12.1,12,11,Ignored,Stories,Image,0.11
18-24,Non-binary,New York,Spanish,Travel,Mobile,Occasional,98,72.5,10,8,Ignored,Stories,Image,0.1
55+,Male,Texas,Spanish,Gaming,Tablet,Frequent,86,89.7,8,15,Viewed,Feed,Image,0.02
35-44,Non-binary,Illinois,Spanish,Travel,Mobile,Rare,84,7.7,8,42,Viewed,Stories,Image,0.25
35-44,Male,California,English,Fitness,Tablet,Occasional,94,2.2,12,11,Ignored,Messenger,Carousel,0.6
55+,Female,Florida,French,Fitness,Mobile,Frequent,28,33.7,7,47,Clicked,Feed,Carousel,0.73
45-54,Female,Florida,French,Travel,Tablet,Occasional,33,45.1,10,40,Ignored,Feed,Video,0.43
18-24,Non-binary,New York,Chinese,Technology,Tablet,Frequent,97,20.8,12,32,Clicked,Feed,Video,0.5
35-44,Male,Illinois,French,Travel,Mobile,Rare,6,45.8,11,31,Clicked,Stories,Carousel,0.87
55+,Non-binary,Florida,Hindi,Food,Desktop,Frequent,83,43.4,11,48,Viewed,Messenger,Carousel,0.37
18-24,Female,California,English,Fitness,Tablet,Rare,91,1.2,13,19,Viewed,Messenger,Video,0.65
25-34,Female,Illinois,Chinese,Travel,Desktop,Occasional,80,26.4,10,3,Clicked,Stories,Carousel,0.08
18-24,Female,Texas,Hindi,Food,Desktop,Frequent,34,7.7,6,16,Viewed,Messenger,Carousel,0.33
25-34,Female,New York,Hindi,Travel,Mobile,Rare,98,6.9,16,8,Viewed,Stories,Carousel,0.99
35-44,Female,Texas,English,Travel,Mobile,Occasional,0,25.2,12,29,Clicked,Messenger,Carousel,0.33
35-44,Female,Florida,Chinese,Travel,Desktop,Rare,49,35.3,12,40,Clicked,Feed,Carousel,0.17
45-54,Male,Florida,English,Travel,Tablet,Frequent,14,13.9,7,36,Viewed,Messenger,Image,0.76
45-54,Female,Texas,Hindi,Fitness,Tablet,Occasional,45,11.7,17,9,Viewed,Messenger,Carousel,0.32
55+,Non-binary,Texas,French,Gaming,Tablet,Frequent,37,17.2,13,45,Viewed,Feed,Carousel,0
35-44,Female,Illinois,Spanish,Technology,Tablet,Occasional,42,8.8,13,33,Viewed,Stories,Carousel,0.6
55+,Female,Texas,Hindi,Travel,Tablet,Frequent,43,3.1,5,11,Ignored,Feed,Image,0.28
55+,Non-binary,California,French,Fitness,Desktop,Rare,14,18.4,8,31,Clicked,Stories,Image,0.6
35-44,Non-binary,California,Spanish,Gaming,Mobile,Frequent,15,37.3,14,14,Clicked,Messenger,Video,0.71
55+,Male,New York,French,Food,Desktop,Frequent,97,11.5,12,29,Clicked,Stories,Carousel,0.18
18-24,Non-binary,New York,French,Food,Mobile,Occasional,32,77.8,7,26,Ignored,Messenger,Carousel,0.36
25-34,Male,Florida,English,Fitness,Desktop,Occasional,75,29,9,2,Viewed,Stories,Image,0.37
18-24,Non-binary,Illinois,Hindi,Fitness,Desktop,Occasional,52,49.8,9,9,Viewed,Feed,Carousel,0.85
18-24,Female,California,Spanish,Gaming,Mobile,Occasional,18,30.6,16,21,Ignored,Feed,Carousel,0.51
55+,Female,New York,French,Gaming,Tablet,Occasional,54,62.4,9,11,Ignored,Feed,Image,0.92
45-54,Non-binary,Illinois,French,Gaming,Desktop,Occasional,13,30.1,12,15,Viewed,Stories,Carousel,0.16
55+,Female,California,Chinese,Technology,Tablet,Frequent,52,10.1,18,48,Viewed,Messenger,Carousel,0.75
25-34,Female,New York,Spanish,Food,Desktop,Occasional,32,55.1,11,29,Clicked,Feed,Video,0
55+,Female,Texas,English,Food,Tablet,Occasional,38,10.7,8,27,Ignored,Feed,Carousel,0.57
18-24,Male,New York,Spanish,Travel,Desktop,Frequent,42,30.3,11,30,Viewed,Messenger,Image,0.38
35-44,Male,Texas,Spanish,Technology,Desktop,Occasional,26,6.6,9,41,Ignored,Messenger,Carousel,0.96
45-54,Non-binary,Florida,Spanish,Fitness,Mobile,Frequent,29,67.7,13,11,Ignored,Stories,Video,0.17
35-44,Female,Illinois,Chinese,Travel,Mobile,Occasional,56,9.4,9,37,Clicked,Feed,Video,0.42
45-54,Female,Florida,Chinese,Fitness,Mobile,Frequent,93,63.3,9,2,Ignored,Feed,Image,0.48
55+,Male,Illinois,English,Travel,Tablet,Rare,13,79.3,11,2,Ignored,Messenger,Carousel,0.09
35-44,Male,Florida,Spanish,Gaming,Desktop,Frequent,79,7.4,10,35,Clicked,Messenger,Image,0.01
55+,Non-binary,California,Chinese,Technology,Mobile,Rare,41,76.1,11,7,Viewed,Stories,Image,0.28
45-54,Female,New York,English,Technology,Tablet,Frequent,12,9.9,6,1,Ignored,Messenger,Carousel,0.31
35-44,Male,Illinois,English,Gaming,Tablet,Rare,48,0.4,12,22,Ignored,Messenger,Image,0.68
18-24,Female,Texas,English,Food,Desktop,Occasional,74,28,8,22,Ignored,Feed,Video,0.75
18-24,Male,Texas,Hindi,Travel,Mobile,Rare,83,51.3,6,31,Viewed,Feed,Image,0.29
35-44,Non-binary,New York,Chinese,Gaming,Desktop,Rare,60,13.3,11,6,Ignored,Stories,Image,0.74
18-24,Male,New York,Chinese,Gaming,Mobile,Rare,43,31.7,14,31,Viewed,Stories,Carousel,0.06
45-54,Female,Texas,French,Fitness,Tablet,Frequent,75,50.7,9,13,Viewed,Stories,Image,0.28
35-44,Male,California,French,Food,Desktop,Frequent,43,42.4,7,28,Ignored,Feed,Video,0.32
45-54,Female,California,English,Gaming,Desktop,Occasional,35,30.2,8,33,Ignored,Feed,Video,0.58
55+,Female,Florida,Chinese,Technology,Desktop,Occasional,13,5.1,11,11,Viewed,Messenger,Image,0.52
25-34,Female,New York,French,Food,Desktop,Frequent,24,23.2,8,20,Clicked,Feed,Carousel,0.91
55+,Non-binary,New York,French,Travel,Desktop,Rare,71,7.6,7,18,Clicked,Feed,Video,0.44
55+,Female,Texas,Hindi,Technology,Desktop,Occasional,43,24.7,10,49,Viewed,Messenger,Video,0.32
55+,Male,California,Hindi,Gaming,Tablet,Occasional,8,35.2,11,32,Ignored,Feed,Image,0.8
25-34,Non-binary,California,Spanish,Travel,Desktop,Frequent,3,5.4,9,49,Clicked,Messenger,Carousel,0.84
35-44,Male,Florida,Chinese,Fitness,Desktop,Rare,83,1.7,6,41,Viewed,Feed,Image,0.49
18-24,Non-binary,California,Hindi,Technology,Mobile,Rare,33,26.3,5,2,Ignored,Messenger,Carousel,0.35
45-54,Non-binary,Florida,English,Technology,Mobile,Occasional,22,90.5,15,48,Ignored,Messenger,Carousel,0.76
18-24,Non-binary,New York,Spanish,Fitness,Desktop,Occasional,63,1.1,10,9,Viewed,Messenger,Carousel,0.64
25-34,Female,Texas,Chinese,Gaming,Desktop,Occasional,95,26.3,15,34,Viewed,Feed,Video,0.18
55+,Male,Texas,Hindi,Fitness,Desktop,Rare,66,25,9,34,Clicked,Stories,Image,0.13
35-44,Non-binary,Illinois,French,Technology,Mobile,Occasional,45,15.5,11,18,Clicked,Messenger,Image,0.95
55+,Female,California,Spanish,Gaming,Tablet,Frequent,43,1.1,18,46,Clicked,Stories,Video,0.99
35-44,Male,Texas,English,Travel,Tablet,Occasional,8,26.5,9,33,Viewed,Messenger,Image,0.21
45-54,Non-binary,Illinois,Hindi,Gaming,Mobile,Frequent,58,7,12,47,Ignored,Messenger,Image,0.86
45-54,Female,California,Chinese,Fitness,Mobile,Occasional,61,67.1,8,34,Viewed,Stories,Carousel,0.17
18-24,Female,New York,English,Fitness,Mobile,Occasional,24,12.8,11,22,Viewed,Feed,Carousel,0.41
18-24,Male,Illinois,Hindi,Technology,Desktop,Frequent,1,7,13,26,Ignored,Stories,Carousel,0.76
45-54,Non-binary,Texas,Chinese,Gaming,Mobile,Occasional,18,38.6,9,31,Ignored,Feed,Image,0.54
45-54,Non-binary,Florida,Chinese,Food,Desktop,Rare,5,13.2,18,13,Ignored,Stories,Image,0.8
55+,Female,Illinois,Chinese,Food,Desktop,Rare,30,99.1,8,37,Ignored,Stories,Video,0.17
18-24,Female,California,Spanish,Technology,Tablet,Rare,66,6,13,49,Viewed,Messenger,Carousel,0.3
45-54,Female,Illinois,Spanish,Travel,Mobile,Frequent,99,122,9,17,Clicked,Feed,Image,0.04
55+,Female,Texas,Spanish,Gaming,Tablet,Frequent,93,19.5,5,47,Viewed,Stories,Carousel,0.64
18-24,Male,Texas,Hindi,Food,Desktop,Rare,60,4,4,29,Viewed,Feed,Carousel,0.73
35-44,Non-binary,New York,Spanish,Fitness,Desktop,Occasional,17,30,13,29,Ignored,Messenger,Carousel,0.25
25-34,Non-binary,California,Chinese,Technology,Tablet,Occasional,62,23.5,9,42,Clicked,Messenger,Image,0.54
25-34,Female,Illinois,Spanish,Fitness,Tablet,Rare,78,17.2,10,6,Ignored,Stories,Image,0
55+,Female,Texas,Chinese,Fitness,Mobile,Occasional,60,3.6,15,25,Viewed,Feed,Image,0.08
45-54,Male,New York,Hindi,Travel,Tablet,Frequent,38,21.3,9,47,Clicked,Stories,Carousel,0.02
25-34,Female,Texas,Hindi,Fitness,Desktop,Frequent,3,15.3,4,35,Clicked,Messenger,Carousel,0.56
55+,Female,California,English,Technology,Mobile,Occasional,85,23.6,12,22,Ignored,Messenger,Image,0.13
55+,Female,Florida,French,Food,Mobile,Frequent,89,3.2,7,16,Clicked,Feed,Video,0.03
25-34,Non-binary,New York,Hindi,Food,Mobile,Frequent,26,82.9,14,36,Viewed,Messenger,Image,0.85
25-34,Male,California,Hindi,Technology,Desktop,Occasional,99,13.2,8,47,Viewed,Feed,Carousel,0.3
35-44,Male,New York,Hindi,Food,Tablet,Occasional,23,4.9,6,44,Clicked,Feed,Video,0.25
18-24,Male,Texas,French,Fitness,Mobile,Occasional,96,38.5,11,35,Clicked,Messenger,Image,0.46
18-24,Female,Texas,Hindi,Gaming,Mobile,Frequent,6,7.6,9,2,Clicked,Messenger,Carousel,0.8
45-54,Female,Illinois,French,Fitness,Desktop,Rare,99,27.9,10,38,Clicked,Messenger,Image,0.21
18-24,Female,Florida,Chinese,Travel,Mobile,Rare,8,12.3,9,46,Clicked,Feed,Video,0.74
25-34,Male,Texas,French,Travel,Desktop,Occasional,76,33,19,14,Viewed,Stories,Image,0.43
25-34,Non-binary,New York,French,Travel,Mobile,Rare,7,25,8,45,Ignored,Stories,Carousel,0.87
45-54,Female,California,French,Travel,Mobile,Frequent,77,39.8,18,3,Clicked,Messenger,Image,0.88
55+,Non-binary,California,English,Travel,Mobile,Frequent,62,9.4,10,1,Clicked,Feed,Video,0.81
35-44,Male,Florida,English,Food,Mobile,Frequent,53,25.2,11,33,Clicked,Stories,Carousel,0.08
45-54,Male,California,Hindi,Fitness,Tablet,Rare,25,61.4,10,17,Clicked,Messenger,Video,0.45
25-34,Female,Florida,Chinese,Food,Mobile,Occasional,55,23.4,10,41,Viewed,Stories,Carousel,0.54
18-24,Non-binary,Illinois,Chinese,Gaming,Mobile,Frequent,3,90.1,8,30,Viewed,Feed,Video,0.64
25-34,Male,California,English,Travel,Mobile,Rare,15,1.9,10,30,Clicked,Messenger,Image,0.07
45-54,Male,Florida,English,Travel,Tablet,Frequent,63,29.8,8,22,Ignored,Messenger,Carousel,0.56
25-34,Female,Texas,French,Technology,Mobile,Occasional,14,31.8,8,31,Ignored,Messenger,Image,0.07
35-44,Male,Illinois,Spanish,Travel,Mobile,Frequent,55,10.6,14,26,Ignored,Stories,Video,0.73
25-34,Non-binary,Florida,Spanish,Fitness,Mobile,Occasional,85,14.5,4,8,Clicked,Stories,Carousel,0.49
55+,Female,Texas,English,Travel,Mobile,Rare,47,1.3,10,34,Clicked,Messenger,Image,0.73
18-24,Male,Texas,French,Technology,Desktop,Frequent,36,4.1,11,36,Ignored,Stories,Image,0.78
18-24,Non-binary,California,Chinese,Fitness,Mobile,Frequent,50,19,8,11,Clicked,Stories,Carousel,0.89
18-24,Non-binary,Texas,Hindi,Gaming,Mobile,Frequent,45,6.2,13,28,Viewed,Feed,Image,0.41
25-34,Female,California,English,Fitness,Desktop,Frequent,29,22.8,6,28,Viewed,Messenger,Carousel,0.84
25-34,Male,California,English,Gaming,Desktop,Rare,7,14.6,11,41,Ignored,Messenger,Video,0.12
55+,Male,Florida,Chinese,Gaming,Tablet,Frequent,40,0.3,8,25,Viewed,Feed,Carousel,0.01
25-34,Male,California,Spanish,Fitness,Desktop,Occasional,71,1.4,10,30,Ignored,Feed,Video,0.69
25-34,Non-binary,New York,English,Fitness,Mobile,Frequent,66,16.5,5,19,Viewed,Stories,Image,0.58
35-44,Non-binary,California,Hindi,Fitness,Tablet,Occasional,51,2.9,7,33,Viewed,Stories,Carousel,0.38
55+,Non-binary,Florida,French,Technology,Tablet,Rare,62,188.8,10,24,Ignored,Messenger,Video,0.37
18-24,Male,New York,English,Gaming,Tablet,Frequent,6,22.3,10,42,Viewed,Feed,Carousel,0.05
45-54,Female,Texas,Hindi,Food,Tablet,Rare,58,17,4,19,Ignored,Feed,Image,0.9
18-24,Female,Illinois,French,Food,Mobile,Frequent,85,14,11,15,Viewed,Messenger,Image,0.6
18-24,Male,Texas,English,Gaming,Mobile,Occasional,13,31.2,11,9,Ignored,Stories,Video,0.54
35-44,Female,California,English,Gaming,Mobile,Rare,11,118.3,9,25,Ignored,Messenger,Carousel,0.27
35-44,Male,Texas,Spanish,Travel,Mobile,Frequent,73,18.7,7,29,Clicked,Stories,Video,0.56
18-24,Female,New York,Hindi,Fitness,Mobile,Occasional,5,55.3,11,15,Ignored,Stories,Image,0.45
25-34,Non-binary,Florida,French,Fitness,Desktop,Occasional,21,6.6,19,17,Clicked,Feed,Video,0.79
25-34,Male,Illinois,Chinese,Technology,Desktop,Frequent,44,5.8,8,11,Ignored,Stories,Image,0.95
45-54,Female,Texas,English,Food,Tablet,Frequent,46,20.3,7,48,Clicked,Feed,Image,0.13
18-24,Non-binary,Texas,French,Gaming,Desktop,Frequent,28,5.8,10,43,Viewed,Feed,Image,0.72
18-24,Female,California,English,Technology,Desktop,Rare,60,15.3,12,11,Ignored,Stories,Video,0.71
25-34,Male,Texas,Chinese,Technology,Mobile,Occasional,47,33.6,19,11,Clicked,Feed,Image,0.35
55+,Female,California,Spanish,Fitness,Tablet,Rare,66,25.3,11,19,Clicked,Stories,Video,0.81
18-24,Male,Texas,Hindi,Travel,Tablet,Occasional,15,2.5,7,20,Clicked,Stories,Image,0.3
18-24,Female,Florida,French,Gaming,Desktop,Occasional,14,99.8,11,18,Clicked,Feed,Video,0.65
55+,Female,Florida,Spanish,Travel,Mobile,Rare,16,26.5,16,45,Clicked,Messenger,Carousel,0.81
35-44,Female,Texas,French,Travel,Desktop,Occasional,68,41.6,6,26,Viewed,Messenger,Carousel,0.74
35-44,Female,Illinois,English,Gaming,Tablet,Occasional,93,56.7,10,1,Ignored,Feed,Image,0.53
25-34,Female,Illinois,Chinese,Gaming,Tablet,Occasional,56,13.8,14,10,Clicked,Feed,Video,0.55
55+,Male,Florida,Spanish,Fitness,Tablet,Frequent,79,19.4,6,32,Viewed,Feed,Video,0.37
45-54,Non-binary,New York,English,Fitness,Tablet,Occasional,4,22.6,8,49,Clicked,Stories,Video,0.1
18-24,Male,Florida,Chinese,Gaming,Tablet,Occasional,22,21.6,6,27,Viewed,Feed,Video,0.56
35-44,Male,California,Spanish,Travel,Tablet,Frequent,24,12.1,14,34,Clicked,Stories,Carousel,0.54
55+,Non-binary,New York,French,Technology,Tablet,Frequent,90,21.9,10,37,Ignored,Messenger,Image,0.16
25-34,Non-binary,New York,English,Food,Tablet,Rare,13,20.4,10,2,Viewed,Feed,Image,0.59
35-44,Non-binary,California,Chinese,Food,Desktop,Occasional,23,2.6,12,40,Clicked,Stories,Image,0.45
18-24,Female,Texas,Hindi,Technology,Mobile,Rare,94,3.1,12,47,Ignored,Feed,Image,0.66
18-24,Male,Florida,Hindi,Travel,Tablet,Frequent,11,43.5,10,10,Ignored,Stories,Carousel,0.12
45-54,Male,California,Chinese,Gaming,Mobile,Frequent,11,20.7,11,34,Ignored,Feed,Carousel,0.18
55+,Female,Illinois,Spanish,Travel,Tablet,Occasional,39,43.9,10,12,Viewed,Feed,Carousel,0.43
35-44,Male,New York,Hindi,Travel,Mobile,Rare,37,18.6,10,45,Ignored,Messenger,Carousel,0.78
35-44,Female,New York,Hindi,Technology,Desktop,Occasional,59,15.3,3,6,Clicked,Messenger,Video,0.29
18-24,Female,Florida,French,Fitness,Mobile,Frequent,24,58.8,2,11,Ignored,Messenger,Video,0.86
18-24,Female,Texas,Chinese,Technology,Tablet,Rare,94,111.4,9,42,Ignored,Messenger,Image,0.5
55+,Non-binary,Florida,Chinese,Travel,Desktop,Rare,19,141.9,16,38,Clicked,Feed,Video,0.34
18-24,Non-binary,California,Chinese,Technology,Mobile,Occasional,32,9.7,5,7,Ignored,Stories,Video,0.06
18-24,Non-binary,California,Spanish,Travel,Tablet,Frequent,43,16.6,5,43,Viewed,Stories,Carousel,0.89
55+,Female,Illinois,Hindi,Travel,Tablet,Occasional,47,7.8,12,30,Viewed,Messenger,Video,0.12
18-24,Male,California,Spanish,Gaming,Mobile,Frequent,5,16.7,13,34,Clicked,Stories,Carousel,0.63
45-54,Male,New York,Chinese,Fitness,Mobile,Occasional,38,16,15,26,Ignored,Feed,Image,0.17
18-24,Non-binary,Illinois,English,Gaming,Mobile,Occasional,4,7,11,49,Clicked,Stories,Carousel,0.2
25-34,Female,Texas,English,Fitness,Mobile,Occasional,72,10.4,9,14,Clicked,Stories,Carousel,0.5
35-44,Non-binary,Illinois,English,Fitness,Mobile,Frequent,47,5,21,6,Clicked,Feed,Carousel,0.49
25-34,Female,California,Hindi,Fitness,Mobile,Occasional,42,8.1,12,15,Clicked,Feed,Image,0.36
45-54,Non-binary,Florida,Chinese,Gaming,Mobile,Occasional,3,29.4,3,36,Viewed,Stories,Video,0.93
18-24,Non-binary,Illinois,English,Fitness,Mobile,Occasional,8,26.6,8,17,Clicked,Messenger,Carousel,0.08
25-34,Male,New York,Hindi,Fitness,Desktop,Occasional,0,13.1,14,17,Ignored,Messenger,Carousel,0.79
55+,Male,Texas,Chinese,Fitness,Mobile,Occasional,23,26.5,18,20,Ignored,Stories,Carousel,0.43
25-34,Male,New York,Chinese,Gaming,Desktop,Frequent,20,3.7,9,31,Viewed,Feed,Video,0.71
18-24,Female,California,French,Gaming,Mobile,Frequent,55,29.2,7,46,Ignored,Feed,Carousel,1
18-24,Non-binary,Florida,French,Fitness,Tablet,Rare,93,3.4,10,30,Ignored,Feed,Video,0.01
25-34,Non-binary,New York,Hindi,Gaming,Desktop,Frequent,88,6,12,29,Clicked,Messenger,Video,0.86
45-54,Female,Florida,French,Technology,Mobile,Occasional,19,63.2,3,15,Viewed,Feed,Carousel,0.45
25-34,Male,California,Hindi,Travel,Tablet,Occasional,66,11.3,11,41,Viewed,Stories,Carousel,0.75
35-44,Non-binary,Florida,Hindi,Travel,Desktop,Rare,84,24.2,9,2,Viewed,Stories,Video,0.88
45-54,Non-binary,California,Chinese,Food,Mobile,Occasional,10,1.5,9,40,Viewed,Stories,Video,0.23
55+,Female,Illinois,French,Travel,Tablet,Occasional,89,19.8,5,26,Viewed,Feed,Video,0.7
25-34,Non-binary,Illinois,Spanish,Food,Desktop,Occasional,9,55.2,7,31,Ignored,Stories,Carousel,0.12
25-34,Female,New York,English,Technology,Tablet,Occasional,76,40.5,7,22,Ignored,Stories,Video,0.96
18-24,Male,Texas,Chinese,Food,Tablet,Rare,59,5.8,13,5,Clicked,Stories,Video,0.6
55+,Non-binary,Texas,Spanish,Technology,Mobile,Occasional,69,31.8,15,15,Viewed,Stories,Video,0.18
55+,Non-binary,New York,Spanish,Travel,Desktop,Occasional,58,15.1,11,28,Ignored,Stories,Carousel,0.48
25-34,Female,Texas,English,Fitness,Mobile,Occasional,64,7.8,11,28,Clicked,Feed,Image,0.32
55+,Female,California,Spanish,Technology,Tablet,Frequent,17,102.3,16,22,Ignored,Messenger,Image,0.6
55+,Female,Texas,Hindi,Fitness,Tablet,Occasional,68,5.6,13,10,Ignored,Feed,Video,0.5
35-44,Female,California,French,Technology,Tablet,Frequent,69,11.7,11,27,Clicked,Messenger,Video,0.97
45-54,Male,Florida,Spanish,Technology,Mobile,Rare,90,97.2,6,18,Viewed,Feed,Carousel,0.07
35-44,Male,Texas,French,Fitness,Desktop,Rare,11,155.8,15,44,Viewed,Stories,Carousel,0.87
18-24,Non-binary,Florida,Chinese,Technology,Tablet,Occasional,73,47.5,10,6,Viewed,Feed,Image,0.46
45-54,Non-binary,Florida,French,Technology,Desktop,Occasional,26,52.9,5,13,Viewed,Messenger,Image,0.73
55+,Non-binary,Illinois,French,Gaming,Mobile,Rare,77,64.9,12,21,Ignored,Stories,Video,0.16
18-24,Male,New York,Hindi,Gaming,Tablet,Occasional,43,6,5,48,Ignored,Messenger,Carousel,0.05
18-24,Male,Texas,English,Food,Tablet,Frequent,82,2.1,10,22,Viewed,Messenger,Image,0.37
55+,Male,New York,English,Gaming,Tablet,Rare,37,65.2,9,4,Viewed,Stories,Image,0.87
25-34,Non-binary,Florida,English,Technology,Tablet,Occasional,12,63.6,7,17,Clicked,Messenger,Image,0.8
35-44,Female,New York,English,Fitness,Tablet,Rare,72,16.7,12,41,Clicked,Stories,Image,0.22
25-34,Male,New York,Hindi,Fitness,Tablet,Frequent,26,85.1,6,23,Viewed,Messenger,Video,0.73
25-34,Female,New York,Hindi,Gaming,Desktop,Occasional,80,23.2,13,13,Viewed,Feed,Carousel,0.62
55+,Female,California,Hindi,Gaming,Tablet,Occasional,75,3,7,24,Ignored,Messenger,Video,0.73
45-54,Non-binary,Illinois,French,Gaming,Desktop,Frequent,12,17.4,12,36,Clicked,Messenger,Image,0.53
25-34,Male,New York,French,Travel,Desktop,Frequent,46,10.3,10,21,Viewed,Messenger,Carousel,0.15
45-54,Male,Florida,Hindi,Food,Desktop,Occasional,5,23.3,10,5,Clicked,Stories,Image,0.53
18-24,Male,Illinois,French,Technology,Desktop,Occasional,97,3.8,11,36,Clicked,Feed,Image,0.95
55+,Male,Illinois,English,Gaming,Tablet,Occasional,82,10.8,10,29,Viewed,Feed,Carousel,0.26
45-54,Male,New York,Spanish,Food,Tablet,Frequent,50,66.5,12,39,Viewed,Stories,Video,0.42
18-24,Female,Illinois,Spanish,Technology,Tablet,Rare,37,4.1,16,38,Clicked,Stories,Image,0.13
45-54,Non-binary,Illinois,Hindi,Food,Mobile,Occasional,85,80.7,6,33,Viewed,Messenger,Carousel,0.2
55+,Non-binary,New York,Spanish,Technology,Mobile,Frequent,8,7.5,9,49,Clicked,Feed,Carousel,0.69
55+,Male,New York,French,Travel,Mobile,Frequent,16,47.9,19,46,Viewed,Feed,Carousel,0.86
25-34,Non-binary,California,Hindi,Technology,Desktop,Occasional,10,66.3,15,41,Ignored,Stories,Video,0.08
35-44,Male,Illinois,Hindi,Food,Desktop,Rare,87,49.2,10,28,Clicked,Feed,Image,0.68
25-34,Male,California,Hindi,Gaming,Desktop,Occasional,35,5.8,9,32,Ignored,Feed,Video,0.52
55+,Male,New York,Hindi,Travel,Tablet,Occasional,39,67.6,14,15,Ignored,Stories,Carousel,0.76
25-34,Female,Texas,Spanish,Technology,Mobile,Occasional,64,17.2,12,31,Clicked,Messenger,Video,0.56
